image_width,image_height,filter_size,filter_type,version,device_name,repeat_count,estimated_operations,cpu_time_ms,cpu_min_time_ms,cpu_max_time_ms,cpu_stddev_time_ms,gpu_kernel_time_ms,gpu_kernel_min_time_ms,gpu_kernel_max_time_ms,gpu_kernel_stddev_time_ms,gpu_total_time_ms,gpu_total_min_time_ms,gpu_total_max_time_ms,gpu_total_stddev_time_ms,gpu_allocation_time_ms,gpu_host_to_device_time_ms,gpu_device_to_host_time_ms,gpu_free_time_ms,kernel_speedup,total_speedup,cpu_gflops,gpu_kernel_gflops,max_abs_error,mean_abs_error,passed
512,512,3,sharpen,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.364820,3.126500,3.808700,0.241038,0.065478,0.064704,0.066944,0.000792,1.674278,1.673504,1.675744,0.000792,0.131200,0.653900,0.540300,0.283400,51.388243,2.009714,1.402331,72.063336,0.000001,0.000000,true
512,512,3,sobel,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.554240,3.130700,4.110700,0.454274,0.063718,0.061440,0.065920,0.001643,1.971618,1.969340,1.973820,0.001643,0.234600,0.781300,0.543800,0.348200,55.780434,1.802702,1.327595,74.053838,0.000000,0.000000,true
512,512,3,sobel,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.554240,3.130700,4.110700,0.454274,0.073882,0.072416,0.075680,0.001085,1.756482,1.755016,1.758280,0.001085,0.148700,0.585000,0.578500,0.370400,48.107241,2.023500,1.327595,63.866943,0.000000,0.000000,true
512,512,3,sobel,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.554240,3.130700,4.110700,0.454274,0.066624,0.065504,0.068352,0.001052,3.277624,3.276504,3.279352,0.001052,0.535500,0.798800,1.091000,0.785700,53.347743,1.084395,1.327595,70.824208,0.000000,0.000000,true
512,512,5,box,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,13107200,7.414120,6.776300,8.067900,0.511847,0.109312,0.107360,0.112672,0.001975,3.609212,3.607260,3.612572,0.001975,0.408400,0.670800,1.222700,1.198000,67.825308,2.054221,1.767870,119.906324,0.000000,0.000000,true
512,512,5,box,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,13107200,7.414120,6.776300,8.067900,0.511847,0.119277,0.118432,0.120224,0.000670,2.150877,2.150032,2.151824,0.000670,0.427800,0.606500,0.558100,0.439200,62.158944,3.447022,1.767870,109.888930,0.000000,0.000000,true
512,512,5,box,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,13107200,7.414120,6.776300,8.067900,0.511847,0.099648,0.098368,0.102048,0.001331,1.970648,1.969368,1.973048,0.001331,0.160300,0.582600,0.639500,0.488600,74.403099,3.762275,1.767870,131.535003,0.000000,0.000000,true
512,512,5,box,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,5242880,7.414120,6.776300,8.067900,0.511847,0.075789,0.074688,0.077824,0.001102,2.211689,2.210588,2.213724,0.001102,0.584500,0.608000,0.481200,0.462200,97.826063,3.352244,0.707148,69.177503,0.000000,0.000000,true
512,512,5,gaussian,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,13107200,7.322540,6.715900,7.840400,0.362095,0.111782,0.107360,0.116736,0.004116,2.981882,2.977460,2.986836,0.004116,0.414600,1.206800,0.837800,0.410900,65.507092,2.455677,1.789980,117.256384,0.000000,0.000000,true
512,512,5,gaussian,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,13107200,7.322540,6.715900,7.840400,0.362095,0.118477,0.117728,0.118784,0.000396,1.761277,1.760528,1.761584,0.000396,0.166700,0.639600,0.562600,0.273900,61.805686,4.157518,1.789980,110.630940,0.000000,0.000000,true
512,512,5,gaussian,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,13107200,7.322540,6.715900,7.840400,0.362095,0.102848,0.100320,0.105344,0.001760,2.568148,2.565620,2.570644,0.001760,0.130900,0.646100,0.655700,1.032600,71.197691,2.851292,1.789980,127.442442,0.000000,0.000000,true
512,512,5,gaussian,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,5242880,7.322540,6.715900,7.840400,0.362095,0.074880,0.074080,0.075808,0.000744,1.759280,1.758480,1.760208,0.000744,0.196700,0.618200,0.511300,0.358200,97.790330,4.162237,0.715992,70.017093,0.000000,0.000000,true
